molecule_id,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CAND_0001,CC(=O)c1ccc2nc(-c3ccccc3)n(O)c2c1,11.36584864,11.36584864,0.037628601,-0.037628601,0.562758119,10.78947368,252.273,240.177,252.0898776,94,0,0.176061993,-0.426261305,0.426261305,0.176061993,1.157894737,1.894736842,2.578947368,16.46990016,10.12968038,2.124826331,-2.004025216,2.235710971,-1.95516533,5.972338218,0.101302694,2.765321761,2.236675016,742.3092881,13.40541292,10.36869123,10.36869123,9.164703798,5.94726881,5.94726881,4.372918741,4.372918741,3.069090897,3.069090897,2.056221079,2.056221079,-2.62,2.765321761,11.46926413,4.242357076,1.869212263,109.4486203,5.207253025,5.516700718,11.60764944,0,0,0,4.794537184,4.983978521,4.730407642,0,30.33183534,25.12283841,11.12690298,5.516700718,10.00179021,16.81664638,0,9.714386163,0,6.9237372,0,54.09438804,0,11.38785599,0,0,0,0,20.70488413,0,0,17.28172588,48.53093655,0,22.42125742,0,55.12,0,10.00179021,0,5.783244946,22.42125742,10.29385913,6.9237372,18.19910121,30.33183534,4.983978521,0,1.024907407,0,15.75045749,10.19202381,2.574808149,0.431169585,14.52925592,0,1.497377646,0,0.066666667,19,1,4,0,0,0,0,2,1,3,0,0,4,1,4,1,2,0,0,0,0,0,2.560879675,3,3.1432,72.358,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0002,Cc1cccc(C2CC(N[C@@H](C)C(=O)NCc3ccco3)C2)c1,12.09462561,12.09462561,0.014264403,-0.186646563,0.861432503,21.47826087,312.413,288.221,312.183778,122,0,0.236732144,-0.46747648,0.46747648,0.236732144,1.304347826,2.130434783,2.826086957,16.33334638,9.751101382,2.3157749,-2.375938062,2.367582401,-2.500116715,5.807662781,-0.122931483,3.007033237,1.409755572,625.8177388,16.23384004,13.71131962,13.71131962,11.11419354,8.242810308,8.242810308,6.464911454,6.464911454,4.547541607,4.547541607,3.119883704,3.119883704,-2.07,3.007033237,15.81159626,7.005041129,4.0185489,136.8227209,15.05072815,5.760247419,0,5.907179729,0,0,4.794537184,0,0,0,29.82891977,50.30320932,6.041840829,18.84976023,9.211688121,5.907179729,0,10.63357721,0,51.23546176,0,59.54851581,0,0,10.63357721,0,0,0,17.99086139,11.33929359,6.9237372,42.57043689,47.07851634,0,0,0,54.27,0,4.794537184,0,11.94902056,18.50450328,18.60189066,11.12690298,6.263162996,19.05647134,41.82278268,4.417150937,5.21462398,0,12.09462561,6.311438042,2.724588083,1.402676995,12.63031033,3.807024691,4.481378937,0,0.421052632,23,2,4,1,0,1,1,1,1,2,1,0,3,2,4,1,6,1,0,1,0,0,4.815690526,3,3.12852,90.0944,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0003,O=S(=O)(c1ccc(NC(=S)N2CCOCC2)cc1)N1CCCCC1,12.62567278,12.62567278,0.340037845,-3.381973629,0.821301091,19.91666667,369.512,346.328,369.1180836,132,0,0.24256701,-0.377774863,0.377774863,0.24256701,1,1.625,2.25,32.23343769,10.16781546,2.252979941,-2.2909993,2.217401522,-2.424128942,7.887419863,0.069019973,2.634567146,1.649459933,629.7836554,16.99335306,13.60903075,15.24202391,11.57051678,8.311391146,10.15970276,6.018696349,8.34332966,4.35669081,6.629820272,2.933535222,4.751039517,-1.22,2.634567146,17.59814398,7.774810393,4.054431238,148.3717928,14.95356129,0,5.112436885,10.02329115,0,0,0,8.417796984,4.305215991,0,6.420821623,49.32498496,31.8664119,18.1092474,13.15465994,33.04098776,0,9.205125722,0,24.15794834,44.70957816,24.26546827,0,0,5.316788604,5.687386275,0,12.21787344,62.12814914,14.76015411,0,19.26246487,29.16095175,0,0,0,61.88,10.02329115,8.417796984,0,0,36.3111971,38.03936396,0,28.57068427,0,10.21669833,16.9547364,32.14245848,5.397452687,2.392834582,3.806673507,0.795449998,0,6.828921958,2.979404571,4.122111182,-3.381973629,0.5625,24,1,6,0,2,2,0,1,0,1,0,0,4,1,8,2,3,0,2,2,0,0,5.700926362,3,1.8902,97.6645,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAND_0004,C=C1CC[C@@H](O)[C@]2(C)CC[C@@](O)(C(C)(C)O)C[C@@H]12,10.69243859,10.69243859,0.103171296,-1.114077853,0.627279121,45.77777778,254.37,228.162,254.1881947,104,0,0.093359015,-0.392527602,0.392527602,0.093359015,1.333333333,1.944444444,2.5,16.35126225,9.526129753,2.555425053,-2.557098952,2.556819322,-2.589234961,5.182519928,-0.187479532,2.255546649,2.299905273,345.5400362,13.76758471,11.73898201,11.73898201,8.100789184,6.905701423,6.905701423,7.065851371,7.065851371,5.546862486,5.546862486,3.714504361,3.714504361,-0.38,2.255546649,14.03810834,4.055732915,1.927398972,109.5298765,15.31958218,0,0,0,0,0,0,0,0,0,19.07577741,51.86948856,5.414990469,17.30606801,15.31958218,0,0,0,11.33289652,70.18138772,0,12.15204021,0,0,0,0,0,0,32.62565019,0,11.33289652,52.87531971,12.15204021,0,0,0,60.69,11.20210162,15.31958218,0,17.4368629,12.84164325,24.8355694,0,13.8474744,0,13.50267288,0,0,0,0,31.14749221,-1.258105631,0.103171296,0,3.04624504,9.544530423,0,0.866666667,18,3,3,2,0,2,0,0,0,0,4,0,3,3,3,0,1,2,0,2,0,0,3.163045447,2,2.0057,71.0764,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0005,Cc1ccc(S(=O)(=O)NC(=O)Nc2ccccc2C(=O)/C=C/c2ccncc2)cc1,12.5665445,12.5665445,0.034355771,-4.042593853,0.465263915,11.23333333,421.478,402.326,421.1096271,152,0,0.332658393,-0.30641753,0.332658393,0.30641753,0.933333333,1.6,2.3,32.23327223,10.07339639,2.18516756,-2.109265513,2.173172179,-2.342807636,7.896838733,0.104368061,2.727946328,1.738419817,1152.22267,21.56226716,16.07135882,16.8878554,14.34817378,8.969645706,10.45280895,6.396390349,8.078792591,4.132332318,5.47922443,2.589442484,3.496784818,-3.78,2.727946328,20.94155048,9.145537342,5.390329963,174.0838915,5.316788604,0,5.783244946,0,10.02329115,6.031114512,9.778515705,17.93442903,0,0,35.90493987,54.96141121,17.95713863,10.58286975,18.00687135,33.60105699,0,9.706073385,0,11.81922068,5.316788604,95.82373241,0,0,10.03888347,10.48192346,0,0,25.21613496,10.02329115,6.9237372,21.48489166,84.02886141,0,6.076020107,0,105.23,16.05440567,18.00687135,0,21.92956619,0,11.12690298,24.27512131,60.93427673,11.64583206,10.30076712,0,26.6846627,0,28.72742768,2.432935799,2.111630324,-0.343422252,14.96698738,6.218712684,1.826992876,-4.042593853,0.045454545,30,2,7,0,0,0,2,2,1,3,0,0,5,2,8,1,6,0,0,0,0,0,6.38405773,3,3.79652,114.5627,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
CAND_0006,O=[N+]([O-])c1ccc(/C=N/N=C/c2ccc(O)cc2)o1,10.3740085,10.3740085,0.169950331,-0.627924539,0.516817723,11.36842105,259.221,250.149,259.0593058,96,0,0.433061647,-0.507966236,0.507966236,0.433061647,1.105263158,1.789473684,2.421052632,16.64842324,10.21387632,2.093277869,-1.908332306,2.134040689,-1.827712781,5.810891699,-0.401729094,2.856485634,1.985696703,603.742797,13.66492594,9.632401407,9.632401407,9.147867046,5.246409114,5.246409114,3.513783007,3.513783007,2.144078118,2.144078118,1.260345453,1.260345453,-2.96,2.856485634,12.49570764,5.584921875,3.497757081,107.2207013,9.523678332,10.67282288,5.760247419,0,0,5.884182202,10.11431827,0,10.20281505,0,0,35.89528683,0,18.49556823,14.44698938,18.31338336,0,0,10.20281505,0,0,57.83621959,0,5.749511833,0,5.884182202,5.749511833,0,22.4590396,0,10.11431827,11.32369891,51.0181684,0,0,0,101.23,4.923311049,10.11431827,0,17.39394145,0,5.563451492,36.69466943,12.13273414,0,10.20281505,9.523678332,4.857749179,0,9.746083956,26.90775259,0.764236531,0.071358012,9.072259292,2.747227104,0,0,0,19,1,7,0,0,0,0,1,1,2,0,0,6,1,7,1,4,0,0,0,0,0,3.673028997,2,2.3464,68.6572,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0007,O=C1/C(=C/c2ccc(O)c(O)c2)CNC/C1=C\c1ccc(O)c(O)c1,12.63761747,12.63761747,0.139926304,-0.249165168,0.423552066,18,339.347,322.211,339.1106726,128,0,0.187125918,-0.504259632,0.504259632,0.187125918,0.72,1.16,1.56,16.30647087,9.952634788,2.200062113,-2.179165593,2.279858555,-2.323217786,6.142190824,-0.112156008,2.578827997,1.894101111,803.4064782,17.97432702,13.23011839,13.23011839,11.93556075,7.64353318,7.64353318,5.768132932,5.768132932,3.89493946,3.89493946,2.594632797,2.594632797,-3.25,2.578827997,16.60229917,6.702590446,3.642793608,143.5463742,25.74289818,0,28.78129228,0,0,0,4.794537184,0,0,0,12.13273414,47.54441147,24.23572187,0,25.22064676,17.93528516,0,5.316788604,0,0,13.08951281,58.67131445,0,22.99804733,5.316788604,0,22.99804733,0,39.29886734,4.794537184,0,11.12690298,47.54441147,0,12.15204021,0,110.02,0,25.22064676,0,28.78129228,35.36262486,0,24.26546827,24.28477435,0,5.316788604,0,0,0,12.63761747,40.94208621,2.239940646,-1.077203908,8.685284705,3.297196502,0.775078368,0,0.105263158,25,5,6,0,1,1,0,2,0,2,0,0,6,5,6,1,2,0,1,1,0,0,4.451136471,3,2.1483,93.3739,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0008,Cc1cc(C)nc(-n2nc(-c3ccccc3)cc2-c2ccccc2)n1,4.800963719,4.800963719,0.595864985,0.595864985,0.551876246,10.8,326.403,308.259,326.1531466,122,0,0.251059222,-0.216435626,0.251059222,0.216435626,0.68,1.24,1.84,15.35473908,10.09756572,2.147786944,-2.071002784,2.27310906,-2.065226918,5.69372409,0.80236093,3.078396443,1.937586315,968.6599776,17.22540387,14.21705761,14.21705761,12.20350994,8.241315328,8.241315328,6.009379715,6.009379715,4.008392389,4.008392389,2.90012954,2.90012954,-3.27,3.078396443,15.26898252,6.321024013,3.062541864,146.3790994,0,0,0,0,5.948339281,0,0,9.967957042,9.780484743,0,60.66367068,25.98020854,22.51475897,11.38785599,0,0,0,19.74844179,0,13.8474744,0,84.18426081,0,28.46309825,0,0,0,0,19.74844179,0,13.8474744,11.38785599,72.79640482,0,28.46309825,0,43.6,0,0,0,0,5.948339281,33.90261496,0,0,60.99384681,40.29979238,5.098681808,1.831018519,0,9.173558516,4.800963719,5.894404919,0.595864985,24.42248772,0,3.948368292,0,0.095238095,25,0,4,0,0,0,0,2,2,4,0,0,4,0,4,2,3,0,0,0,0,0,3.860624206,4,4.61314,99.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0009,Cc1nc(CN2CCCC2c2c(C)nn(C)c2Cl)no1,6.390541628,6.390541628,0.287042706,0.287042706,0.870062674,19.9,295.774,277.63,295.1199879,108,0,0.22306741,-0.339633773,0.339633773,0.22306741,1.4,2.2,2.8,35.49569699,10.05952086,2.313265839,-2.226291665,2.374834911,-2.23520693,6.300575896,0.2372175,3.047455436,1.848808996,593.5820618,14.2756564,11.92805813,12.68398708,9.558550648,6.782059389,7.160023862,5.27162761,5.629640697,3.807186503,4.255410312,2.95445255,3.254944507,-1.4,3.047455436,13.57700066,5.179477979,2.334375,122.257518,4.523094937,5.153109817,5.824404498,5.890723922,0,0,9.581712666,0,10.08266033,0,16.75760315,26.31013685,25.5767015,12.2386844,4.523094937,11.60093989,0,24.82103625,7.047671983,39.27571488,6.544756406,28.12561772,0,0,0,0,0,11.60093989,31.36579266,13.59242839,13.8474744,41.85599198,4.523094937,5.153109817,0,0,59.98,0,0,0,6.041840829,12.43548033,41.62129345,0,11.60554013,13.97140918,20.13923332,16.12403483,6.774326849,6.390541628,6.62648967,9.110555792,2.130163008,1.331855089,0.287042706,2.231399124,5.519737654,1.875666257,0.615384615,20,0,6,0,1,1,0,0,2,2,1,0,6,0,7,3,3,0,1,1,0,1,3.516088797,3,2.41044,74.375,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAND_0010,COc1ccc2c(c1)CCNC2,5.159852608,5.159852608,0.968194444,0.968194444,0.674245454,15.41666667,163.22,150.116,163.099714,64,0,0.118655624,-0.496757591,0.496757591,0.118655624,1.333333333,2.25,3.083333333,16.46528409,10.00997395,2.076648938,-2.167309153,2.193619768,-2.228438844,5.364060913,0.413242112,2.169703196,2.356039841,273.3668413,8.388905057,7.261619442,7.261619442,5.898178148,4.26461987,4.26461987,3.061417484,3.061417484,2.2999984,2.2999984,1.580559165,1.580559165,-1.02,2.169703196,7.61990903,3.151589643,1.299185461,72.54874784,10.05365156,5.749511833,0,0,0,0,0,0,0,0,6.066367068,36.22521515,6.544756406,7.109797541,4.736862954,0,0,5.316788604,0,12.96557803,13.65455395,29.32600419,0,5.749511833,10.05365156,0,5.749511833,0,13.65455395,12.96557803,0,11.12690298,18.19910121,0,0,0,21.26,0,0,0,0,0,25.25984627,11.12690298,7.109797541,6.066367068,17.44952274,4.736862954,5.159852608,0,0,3.337589522,2.828842593,0.968194444,6.293981481,1.117592593,2.082832577,1.711114182,0.4,12,1,2,0,1,1,0,1,0,1,0,0,2,1,2,1,1,0,0,0,0,0,2.001235532,2,1.3409,48.4047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
