SMILES,target1_pIC50,target2_pIC50,target3_pIC50,target4_pIC50,target5_pIC50,MW,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,NumRings,TPSA,NumAtoms,FractionCSP3,HeavyAtomCount
CC(=O)OC,4.792736334697068,5.232054046860953,5.404741612555846,3.966154862645498,4.1689114679271615,74.07900000000001,0.17930000000000001,0,2,0,0,26.3,5,0.6666666666666666,5
CC1=CC=CC=C1,6.110740735610457,5.579474964835934,5.419453055617356,4.671765917758771,5.380796912536029,92.14099999999999,1.99502,0,0,0,1,0.0,7,0.14285714285714285,7
CCN(CC)CC,5.331200825913349,4.032193530666613,3.9260893149124385,3.4450658613492724,4.082967886062956,101.193,1.3481,0,1,3,0,3.24,7,1.0,7
C1CCCCC1,4.592205253263005,4.8006978496661485,4.277116628901221,4.019137153383177,4.9641934854862555,84.162,2.3406000000000002,0,0,0,1,0.0,6,1.0,6
C1CCC(CC1)N,4.582440914282309,4.712414902822046,6.285396019124294,3.1127341128651347,4.781459220437098,99.17700000000002,1.2778,1,1,0,1,26.02,7,1.0,7
CC(C)(C)O,6.552294242232802,7.219445103158564,7.696824015487116,6.128639119406703,5.688553656511619,74.12299999999999,0.7771999999999999,1,1,0,0,20.23,5,1.0,5
CC(C)C,5.521297938263146,5.4654397913828205,6.154824905756449,4.830336285759471,5.378279870963674,58.123999999999995,1.6622999999999999,0,0,0,0,0.0,4,1.0,4
CC(=O)O,4.254133521384904,5.0769567721607,4.921829008240746,4.512121550144092,5.2880857262480925,60.05200000000001,0.09089999999999993,1,1,0,0,37.3,4,0.5,4
C1CC1,5.132447618424607,5.615927781025514,4.666375303859711,5.546002863946887,6.022054614564912,42.080999999999996,1.1703,0,0,0,1,0.0,3,1.0,3
C1=CC=C(C=C1)Cl,5.130994150324261,5.229080388953895,5.073703601017654,3.813251966051196,5.586374604992964,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
CCO,2.661368620414829,3.754573214535136,2.9405369911195707,1.756833089498837,4.072700126194967,46.069,-0.0014000000000000123,1,1,0,0,20.23,3,1.0,3
CC(=O)N,4.917139798050508,4.775544941060358,4.12061562541783,4.160300997455606,3.9578865828088174,59.068,-0.5084,1,1,0,0,43.09,4,0.5,4
C1=CC=C(C=C1)Cl,5.47320484455409,5.35943370840205,5.695942205672028,4.937377526648841,5.503924492556548,112.55899999999998,2.34,0,0,0,1,0.0,7,0.0,7
