SMILES,target1_pIC50,target2_pIC50,target3_pIC50,target4_pIC50,target5_pIC50,MolWt,LogP,HBA,HBD
COCCCn1nc(C)c2c(Cl)cc([C@@H](C)N(C(=O)[C@H]3CNCCO3)C3CC3)cc21,7.363,6.864,4.624,1.784,7.728,434.97,3.08,6,1
N[C@@H](CC(=O)N1CCSC1)Cc1cccnc1,6.583,5.796,4.613,5.923,6.329,251.35,0.87,4,1
O=C(NC(=O)c1ccccc1Cl)Nc1ccc(C(=O)O)cc1Cl,8.507,6.311,4.063,1.145,6.703,353.16,3.65,3,3
Cc1cnc(NS(=O)(=O)c2ccc(Nc3ccnc(SCC(=O)c4ccccc4)n3)cc2)nc1,5.718,7.272,5.579,1.186,9.114,492.59,4.09,9,2
Cc1ccc2c(n1)N(C)CCN(Cc1ccco1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,11.803,11.039,10.082,10.569,11.432,485.38,3.7,6,2
O=C(O)/C(=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccc(Cl)cc1,6.964,7.292,4.704,1.155,9.37,410.64,5.45,2,3
NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CCc1ccccc1,7.168,7.352,5.235,1.669,7.583,447.54,1.67,4,4
COc1ccc(Cc2nc(NC(=O)c3cc(Br)ccc3O)n(C)c2Cc2ccc(OC)c(OC)c2)cc1,1.088,2.525,1.225,1.089,0.686,566.45,5.35,7,2
COc1ccc2c(n1)CN(c1ncnn3c(C)nc([C@H]4CCOC4)c13)CC2,8.817,7.151,5.162,1.985,8.302,366.43,1.9,8,0
CNC(=O)CN(CC(N)=O)C(=O)NC,6.267,4.258,3.85,6.117,5.514,202.21,-2.14,3,3
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CCOCC3)C1)cc2-c1cc(O)cc(F)c1,6.735,8.535,6.163,0.348,9.107,440.47,2.85,5,2
Cc1ccc(C)c(N2CCN(C(=O)C3CCN(C(=O)c4cc5sccc5n4C)CC3)CC2)c1,1.692,8.727,4.997,1.79,8.355,464.64,4.06,5,0
COc1cc2[nH]c(C(=O)Nc3ccc4c(c3)OCCO4)cc2c(OC)c1OC,1.693,1.132,1.43,1.443,1.729,384.39,3.22,6,2
COc1cc(N2CCN(S(C)(=O)=O)CC2)ccc1Nc1ncc2ccn(-c3ccccn3)c2n1,1.422,1.447,1.171,1.88,1.893,479.57,2.65,9,1
Cl.NC(=O)Nc1cc(-c2ccccc2F)sc1C(=O)N[C@H]1CCCNC1,0.926,0.887,0.624,1.508,0.928,398.89,2.95,4,4
CC(C(=O)NC1CC1)N1CCN(Cc2ccn(C)c(=O)c2)CC1,7.812,6.506,4.719,1.216,7.47,318.42,0.17,5,1
CC(C)(C)NCCCOc1ccc2c(=O)cc(-c3ccccc3)oc2c1,7.289,7.069,5.116,1.225,7.725,351.45,4.62,4,1
Cc1cc(C)nc(NCc2nocc2C)n1,7.282,5.901,4.763,6.307,6.905,218.26,2.0,5,1
O=C(O)c1cc2cc(CCc3ccccc3C(=O)O)ccc2cc1O,9.242,7.337,6.018,5.669,8.418,336.34,3.73,3,3
CCn1c(CN2CCC(C)CC2)nc2cc(NC(=O)c3cccs3)ccc21,1.051,5.872,2.988,1.686,4.236,382.53,4.6,5,1
COc1ccc2nc(-c3ccccc3)cc(NCCCNc3cc(-c4ccccc4)nc4ccc(OC)cc34)c2c1,1.86,5.626,4.773,1.867,7.421,540.67,8.05,6,2
Cn1nccc1CN1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,1.064,6.534,4.89,0.914,6.906,437.48,1.9,9,2
COC1(COc2cc(F)cc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,10.802,11.644,10.181,8.512,12.362,421.48,3.62,7,1
O=S(=O)(O)O.c1ccc(-c2cn[nH]c2Nc2nncc3cncn23)cc1,3.899,2.678,2.658,3.485,3.175,375.37,1.61,8,4
CCc1csc(CC2CCN(C(=O)CCc3ncccn3)CC2)n1,4.632,6.686,4.518,4.726,7.592,344.48,2.91,5,0
Cc1nc(CN(CCO)Cc2nccn2C)cs1,6.443,4.967,4.07,5.343,5.878,266.37,1.18,6,1
CC(=O)Nc1cccc2c(Oc3cccc(NC(=O)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)c3)ccnc12,7.647,6.847,4.307,1.12,8.368,533.43,7.28,4,2
O=c1oc(-c2c(F)cccc2F)nc2cnccc12,8.145,7.089,5.836,6.159,7.845,260.2,2.53,4,0
CS(=O)(=O)Nc1cc(NCCO)nc(SCc2ccccc2)n1,7.603,5.828,5.221,4.554,6.94,354.46,1.54,7,3
N#Cc1ccc(Cn2ccnc2)cc1Oc1cccc(Nc2ccccc2)c1,5.438,7.766,5.61,4.924,8.712,366.42,5.34,5,1
O=C1Nc2c(c(=O)oc3ccccc23)C(c2ccc(Cl)cc2)N1,8.758,8.252,5.809,1.497,9.006,326.74,3.67,3,2
COc1ccc(N(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2cc(C)on2)cc1,6.286,6.16,4.904,0.728,8.251,428.49,2.8,6,2
CC(C)(C)OC(=O)n1cc(-c2cccc(NC(=O)c3cc4sccc4[nH]3)c2)nc1N,1.673,1.373,1.366,1.847,1.338,423.5,4.71,7,3
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2OC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,4.516,8.511,4.964,1.619,9.93,502.61,7.46,4,1
C[C@H]1NC(=O)c2[nH]c3ccccc3c2-c2ccccc21,10.31,7.743,6.054,6.319,9.232,262.31,3.64,1,2
O=c1ccc(Nc2ccccc2Cl)nn1-c1ccccc1Cl,8.604,7.331,6.028,5.543,7.864,332.19,4.28,4,1
CCn1c(NC(=O)c2[nH]nc3ccccc23)nc2ccccc21,9.563,7.217,5.22,3.705,8.347,305.34,3.18,4,2
OCCn1nc(C2CCCC2)nc1C1CCOC1,7.26,6.162,4.937,4.911,6.743,251.33,1.43,5,1
COCCOc1cc(CC2CCN(CCc3ccc4c(c3)C(=O)C(O)CO4)CC2)ccc1Br,7.072,7.631,4.816,1.323,8.081,518.45,3.91,6,1
O=C(C1CCOCC1)N1CCC2(CCC(C(=O)N3CCCC3)O2)CC1,6.413,6.902,5.586,4.617,8.498,350.46,1.58,4,0
CCCNC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C,7.226,7.73,4.534,1.018,9.075,458.54,0.65,7,2
CSc1ccc(NC(=O)C[n+]2cccc(C(=O)Nc3ccccc3)c2)cc1,6.065,7.088,5.66,4.121,8.431,378.48,3.59,3,2
Cc1ccccc1NC(=O)C1CCN(C(=O)NC2CCCCC2)CC1,1.327,1.791,1.523,1.911,1.396,343.47,3.69,2,2
O=C(c1ccc(CN2CCOCC2)cc1)N1CCN(C2CCC2)CC1,6.949,7.067,4.408,0.454,7.3,343.47,1.83,4,0
NC/C=C\Cn1cnc2c(=O)[nH]cnc21,7.571,5.104,4.588,5.427,6.254,205.22,-0.37,5,2
COCCNCc1ccc2ccc3cccc4ccc1c2c34,7.612,6.917,5.171,4.457,7.814,289.38,4.32,2,1
CC(N)CO,3.816,2.788,2.646,3.431,3.014,75.11,-0.67,2,2
CC(=O)Oc1ccc(OC(C)=O)c2c1CC=C(CCC=C(C)C)C2,7.678,6.94,5.337,3.325,8.057,328.41,4.31,4,0
OCC1(Nc2nc(-c3ccncc3)nc3cnccc23)CCC1,7.411,6.912,5.678,4.924,7.399,307.36,2.41,6,2
CNC(=O)c1ccc(-c2ccc3c(c2)CCN(CCN2CCCC2)C3=O)c(F)c1,1.486,1.034,1.021,1.966,1.773,395.48,2.95,3,1
COc1ccc2c(c1)-c1nc(-n3ncc(C(=O)N(C)CCO)c3C3CC3)ncc1CC2,6.619,7.001,1.96,1.694,8.033,419.49,2.38,7,1
COc1cnc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(C4CC4)nc(F)c2O3)cn1,1.972,1.193,1.079,1.089,1.316,476.47,3.23,9,2
Brc1cc(Br)c2nc(-c3cnccn3)ccc2c1,7.404,6.032,4.843,5.026,6.516,365.03,4.22,3,0
COc1ccc2nc(NCc3ccc(C(=O)Nc4ccccc4N)cc3)sc2c1,1.647,7.33,5.52,4.464,8.87,404.5,4.75,6,3
Cc1cccc(Nc2ccccc2C(=O)N[C@@H](CCCCCC(=O)NO)C(=O)Nc2cccc3cccnc23)c1C,3.981,7.375,4.263,1.859,9.109,553.66,5.79,6,5
Cc1ccc(-c2csc(NCCc3nc4cc(Cl)c(Cl)cc4n3CCCO)n2)cc1,5.37,7.287,4.935,0.324,8.394,461.42,5.81,6,2
Cc1cc(C)c(C(=O)N2CCn3nc(C(=O)NCCN(C)C)cc3C2)[nH]1,6.113,5.349,4.202,1.484,7.168,358.45,0.78,5,2
O=c1c2ccccc2[nH]c(=S)n1CCN1CCCC1,8.08,6.298,5.093,5.113,6.925,275.38,2.15,4,1
CC#CCOC(=O)C1=CCCN(C)C1,6.157,5.194,3.745,5.156,6.478,193.25,0.81,3,0
CN(C)C1(Cc2ccccc2)CCN(c2cc(C(F)(F)F)ccc2CNC(=O)Nc2cccc3ncccc23)CC1,1.065,8.759,5.613,1.459,7.873,561.65,6.72,4,2
O=[N+]([O-])c1ccc(N/N=C/c2ccc(OCc3cccc4ccccc34)cc2)nc1,5.602,7.654,4.666,0.199,8.277,398.42,5.17,6,1
Cc1[nH]c(-c2ccccc2)nc1C(=O)O,7.853,5.855,5.289,6.787,1.456,202.21,2.08,2,2
COc1cccc(Nc2cc(NC(=O)CCCC(=O)O)ncn2)c1,8.183,6.423,4.939,6.34,7.343,330.34,2.42,6,3
O=C(c1cc(F)c(O)c(Cl)c1)N1CS(=O)(=O)c2ccccc21,8.182,7.321,5.661,2.59,8.422,341.75,2.58,4,1
C=CC[C@@]12CCN[C@@H]1n1c3nc4ccccc4cc3c(=O)c3cccc2c31,8.992,9.386,6.447,1.517,9.969,353.43,4.02,4,1
CCCCc1c(O)cc2n(c1=O)-c1ccc(Cl)cc1C2(C)C,8.155,7.335,5.391,1.651,8.113,317.82,4.18,3,1
COc1ccccc1C(=O)NC(CCSC)C(=O)NCc1ccncc1,7.088,6.58,4.671,5.394,7.329,373.48,2.26,5,2
Cc1ccc(C)c(-c2ccc(Cl)c(Cl)c2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,6.57,7.932,5.951,4.102,9.302,391.29,5.36,3,1
CCOC(=O)Cc1nc2c(N)cccc2[nH]1,7.252,5.665,4.623,5.858,6.308,219.24,1.25,4,2
CC(=O)c1ccc(-c2cccc(NC(=O)CCc3cccc4c3C(O)OC4)c2)cc1,4.031,7.445,5.325,1.081,8.71,401.46,4.65,4,2
FC(F)(F)c1cc(N2CCC(OCc3nnn[nH]3)C2)cc(C(F)(F)F)c1,8.369,7.509,5.717,5.587,8.521,381.28,3.03,5,1
COCCN1CC[C@H]2OCC[C@@H](C(=O)N3CCCO3)[C@H]2C1.O=C(O)C(F)(F)F,7.505,6.127,4.548,6.188,7.194,412.41,1.16,6,1
CCC1=CC(=O)[C@]2(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2[C@@H]1O,6.881,7.18,4.479,5.775,7.864,358.52,5.21,3,1
CCO[C@H]1CC[C@@](CS)(C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc2cccnc2)CC1,6.806,7.132,5.236,1.177,7.889,441.6,3.64,5,3
CCOc1cc(C2NC(=O)NC(C)=C2C(=O)OCC2CCCCC2)ccc1O,1.09,6.96,5.679,5.29,8.654,388.46,3.54,5,3
COc1ccc(Cc2nc(Cn3cnc4ccccc4c3=O)no2)cc1,7.44,7.512,6.003,4.941,8.392,348.36,2.43,7,0
NC(=O)C1CCCN1C(=O)c1cccc2c1OCO2,7.598,6.624,4.853,6.425,7.785,262.26,0.51,4,1
CCCCn1/c(=N/C(=O)c2cc3ccccc3o2)c(C(=O)OCC)cc2c(=O)n3ccccc3nc21,5.852,6.442,4.785,1.193,7.79,484.51,4.11,8,0
CCOC(=O)CCNc1cc2oc3cc(=[N+](C)C)ccc-3nc2c2ccccc12.[Cl-],6.428,6.702,1.373,1.187,6.622,425.92,0.49,5,1
COc1ccc2c(c[n+]3c4c2ccc2c5c(cc(c24)CC3)OCO5)c1NC(=O)c1c(C)noc1C,1.149,1.864,1.469,1.545,1.446,468.49,4.58,6,1
COc1cc(C2CN(C(=O)c3cc(OC[C@H](O)CO)ccn3)C2)ccc1OCc1ccc(C2CC2)cc1,4.217,6.816,1.598,0.158,6.807,504.58,3.52,7,2
COc1ccccc1OC(=O)c1cc(OC)c(OC)c(OC)c1,7.814,5.791,4.994,4.42,7.073,318.33,2.94,6,0
N#Cc1ccc(NC(=O)c2cc(C(F)(F)F)ccc2O)cc1,7.57,6.172,4.817,0.882,6.891,306.24,3.53,3,2
COCC(=O)N1CCC2(COCc3cnc(N4CCOCC4)nc32)C1,8.653,6.265,5.243,2.489,7.546,348.4,-0.04,7,0
Oc1cc(Cc2ccccc2)on1,7.219,5.496,4.474,5.803,6.737,175.19,1.97,3,1
O=C1O[C@@H](CO)CN1c1ccc(-c2ccccc2)c(F)c1,7.88,6.491,5.141,2.006,6.82,287.29,2.81,3,1
O=C(c1ccc(Cl)s1)N(Cc1cccnc1)c1nc2c(F)cc(F)cc2s1,8.205,7.403,5.577,2.019,8.602,421.88,5.53,5,0
COc1cc(Nc2nc3cc(C4(OC)c5ccccc5C(=O)N4Cc4ccccc4)ccc3[nH]2)cc(OC)c1,1.027,4.313,1.112,1.833,7.508,520.59,5.83,6,2
Cc1noc(C)c1NC(=O)c1cc2ccccc2[nH]1,8.029,6.432,5.645,5.801,7.885,255.28,3.03,3,2
Cc1nc(C)c(NS(=O)(=O)c2ccc3c(c2)CCCC3)s1,7.952,7.174,5.497,5.49,7.807,322.46,3.44,4,1
COc1cc(/C=C/C(=O)/C=C/c2ccc(C(F)(F)F)cc2)ccc1O,1.491,4.984,4.519,1.253,4.735,348.32,4.72,3,1
CC(=O)Nc1cnc(NC(=O)c2cccc(F)c2)cc1C,7.171,6.37,4.066,1.486,6.117,287.29,2.74,3,2
O=C1CCCC2=C1[C@H](c1cccc(O)c1)NC(=S)N2,7.813,6.624,5.388,4.43,7.856,274.35,1.92,3,3
Oc1cc(-c2nn(-c3ccc(Cl)cc3)c3nnc(-c4ccc(Cl)cc4)nc23)cc(O)c1O,1.217,1.731,1.394,1.336,1.137,466.28,4.97,8,3
CC(C)CC(CO)NS(=O)(=O)c1cccc(Cl)c1F,6.623,6.232,4.525,5.762,7.249,309.79,2.16,3,2
