SMILES,target1_pIC50,target2_pIC50,target3_pIC50,target4_pIC50,target5_pIC50
O=C1CCCC2=C1[C@H](c1cccc(O)c1)NC(=S)N2,7.813,6.624,5.388,4.43,7.856
NC(=O)C1CCCN1C(=O)c1cccc2c1OCO2,7.598,6.624,4.853,6.425,7.785
COc1ccc2nc(NCc3ccc(C(=O)Nc4ccccc4N)cc3)sc2c1,1.647,7.33,5.52,4.464,8.87
CC(C)(C)OC(=O)N[C@H]1CCCN(CCF)C1,6.006,5.428,3.9,5.069,5.798
COc1cc(N2CCN(S(C)(=O)=O)CC2)ccc1Nc1ncc2ccn(-c3ccccn3)c2n1,1.422,1.447,1.171,1.88,1.893
COC1(COc2cc(F)cc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,10.802,11.644,10.181,8.512,12.362
COc1ccc(Cc2nc(NC(=O)c3cc(Br)ccc3O)n(C)c2Cc2ccc(OC)c(OC)c2)cc1,1.088,2.525,1.225,1.089,0.686
NC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CCc1ccccc1,7.168,7.352,5.235,1.669,7.583
CCCNC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)c(=O)n(C)c(=O)n2C,7.226,7.73,4.534,1.018,9.075
C=C1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@H](O)C[C@]12C,9.652,8.072,6.249,3.404,8.494
CCC1=CC(=O)[C@]2(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2[C@@H]1O,6.881,7.18,4.479,5.775,7.864
CC(C)(C)OC(=O)n1cc(-c2cccc(NC(=O)c3cc4sccc4[nH]3)c2)nc1N,1.673,1.373,1.366,1.847,1.338
Cc1[nH]c(=O)c(C#N)c(C)c1CCC(=O)Nc1ccc(N2CCCCC2)cc1,7.781,7.354,4.401,1.357,8.067
CCCCCCCCNC(=O)n1cc(C(F)(F)F)c(=O)[nH]c1=O,6.789,6.162,4.413,5.916,7.322
COc1cc(CN(Cc2ccccc2)Cc2ccc(O)c(OC)c2)ccc1O,7.627,7.002,1.882,3.89,8.268
CCOC(=O)Cc1nc2c(N)cccc2[nH]1,7.252,5.665,4.623,5.858,6.308
O=C(O)CCc1ccccc1/N=N/c1ccc(C(=O)O)cc1,7.352,6.142,4.832,3.554,7.402
Cc1noc(CCNS(=O)(=O)N2CCCC2c2ccc(C)o2)n1,7.833,6.363,5.229,1.153,7.678
Cc1ccc(C(=O)Nc2ccccc2)cc1NC(=O)C1(c2ncnc3[nH]ccc23)CC1,1.338,7.015,4.509,1.1,4.287
Cc1ccc2c(n1)N(C)CCN(Cc1ccco1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,11.803,11.039,10.082,10.569,11.432
Cc1ccc(-n2cnnc2)c(C(=O)N2CC3CCCC(C3)C2)c1,6.835,7.794,5.683,2.669,9.269
Cc1cccc(C)c1NC(=O)c1c(-c2ccccc2)noc1C,7.824,8.213,5.591,5.344,9.133
O=C(Nc1ccc(-c2nnc(NCCCCN3CCCC3)o2)cc1)c1ccccc1F,1.618,4.042,1.508,1.028,1.446
Cc1ccccc1NC(=O)C1CCN(C(=O)NC2CCCCC2)CC1,1.327,1.791,1.523,1.911,1.396
O=C(O)/C(=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)c1ccc(Cl)cc1,6.964,7.292,4.704,1.155,9.37
COc1cc(C2CN(C(=O)c3cc(OC[C@H](O)CO)ccn3)C2)ccc1OCc1ccc(C2CC2)cc1,4.217,6.816,1.598,0.158,6.807
CCCC1c2ccccc2CCN1CCS(C)(=O)=O,6.644,6.394,5.089,3.786,6.842
COc1ccc2c(c[n+]3c4c2ccc2c5c(cc(c24)CC3)OCO5)c1NC(=O)c1c(C)noc1C,1.149,1.864,1.469,1.545,1.446
O=C(O)c1ccc(Oc2ccc3c(c2)C[C@@H](NC[C@H](O)c2cccc(Cl)c2)CCC3)cc1,10.413,11.328,9.285,8.289,12.496
CC(c1ccc(S(C)(=O)=O)cc1)S(=O)(=O)c1cccc[n+]1[O-],7.942,6.927,5.17,3.855,8.098
COc1ccc2nc(-c3ccccc3)cc(NCCCNc3cc(-c4ccccc4)nc4ccc(OC)cc34)c2c1,1.86,5.626,4.773,1.867,7.421
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CCOCC3)C1)cc2-c1cc(O)cc(F)c1,6.735,8.535,6.163,0.348,9.107
Cc1cccc(-c2oc(C)nc2C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c1,5.427,7.316,1.11,0.154,3.815
COc1cc(/C=C/C(=O)/C=C/c2ccc(C(F)(F)F)cc2)ccc1O,1.491,4.984,4.519,1.253,4.735
CS(=O)(=O)Nc1cc(NCCO)nc(SCc2ccccc2)n1,7.603,5.828,5.221,4.554,6.94
CC(N)CO,3.816,2.788,2.646,3.431,3.014
N[C@@H](CC(=O)N1CCSC1)Cc1cccnc1,6.583,5.796,4.613,5.923,6.329
O=C(N[C@H](C/C=C/c1cccc(F)c1)C(=O)O)c1ccc2ccccc2c1,6.455,7.945,5.758,5.852,9.372
CC(=O)Nc1cccc2c(Oc3cccc(NC(=O)c4cc(C(F)(F)F)cc(C(F)(F)F)c4)c3)ccnc12,7.647,6.847,4.307,1.12,8.368
CCn1c(NC(=O)c2[nH]nc3ccccc23)nc2ccccc21,9.563,7.217,5.22,3.705,8.347
Cc1cc(C)nc(NCc2nocc2C)n1,7.282,5.901,4.763,6.307,6.905
Oc1c2c(nc3cc(-c4ccc(F)cc4)nn13)CCC2,8.539,6.919,5.311,1.752,7.726
Cc1ccc(C)c(-c2ccc(Cl)c(Cl)c2)c1/C=C/[C@@H]1C[C@@H](O)CC(=O)O1,6.57,7.932,5.951,4.102,9.302
CCn1nc(C)c(C2C(C#N)=C(N)OC3=C2C(=O)CCC3)c1C,7.117,7.058,4.7,0.143,2.337
O=c1ccc(Nc2ccccc2Cl)nn1-c1ccccc1Cl,8.604,7.331,6.028,5.543,7.864
Fc1ccc(-n2nnnc2-c2cnc(-c3cccs3)nc2C(F)(F)F)cc1,7.882,8.014,5.76,1.76,8.662
CC(=O)c1ccc(-c2cccc(NC(=O)CCc3cccc4c3C(O)OC4)c2)cc1,4.031,7.445,5.325,1.081,8.71
COCC(=O)N1CCC2(COCc3cnc(N4CCOCC4)nc32)C1,8.653,6.265,5.243,2.489,7.546
OCCn1nc(C2CCCC2)nc1C1CCOC1,7.26,6.162,4.937,4.911,6.743
