SMILES,pIC50
COC1(COc2cc(F)cc3ccc(-c4nnc5ccccn45)nc23)CCCNCC1,10.181
Cc1ccc2c(n1)N(C)CCN(Cc1ccco1)C2.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,10.082
C#CC(C)=CCN1Cc2cccc3nc(O)n(c23)CC1C,9.847
O=C(O)c1ccc(Oc2ccc3c(c2)C[C@@H](NC[C@H](O)c2cccc(Cl)c2)CCC3)cc1,9.285
C=CC[C@@]12CCN[C@@H]1n1c3nc4ccccc4cc3c(=O)c3cccc2c31,6.447
C=C1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@H](O)C[C@]12C,6.249
O=C1NCc2c1cc(O[C@@H]1CCN(C(=O)C3CCOCC3)C1)cc2-c1cc(O)cc(F)c1,6.163
C[C@H]1NC(=O)c2[nH]c3ccccc3c2-c2ccccc21,6.054
O=c1ccc(Nc2ccccc2Cl)nn1-c1ccccc1Cl,6.028
O=C(O)c1cc2cc(CCc3ccccc3C(=O)O)ccc2cc1O,6.018
