target_id,rank,feature,importance
TAR_001,1,MinAbsEStateIndex,0.11135156080437092
TAR_001,2,HallKierAlpha,0.07438517175017606
TAR_001,3,FpDensityMorgan3,0.03631410830570432
TAR_001,4,fr_alkyl_halide,0.03344041430188867
TAR_001,5,FpDensityMorgan2,0.031855743961177796
TAR_001,6,qed,0.030364936006045895
TAR_001,7,Phi,0.028042534047392098
TAR_001,8,SlogP_VSA2,0.019660413947744815
TAR_001,9,Chi1v,0.01822893709474395
TAR_001,10,fr_NH1,0.017437889253188177
TAR_002,1,MinAbsEStateIndex,0.09587316830590417
TAR_002,2,fr_alkyl_halide,0.08328170349584747
TAR_002,3,FpDensityMorgan2,0.08284495285108348
TAR_002,4,Chi4v,0.05932767838343554
TAR_002,5,SlogP_VSA6,0.0524346582879435
TAR_002,6,Chi1v,0.0511317087491973
TAR_002,7,FpDensityMorgan3,0.03872620127159805
TAR_002,8,BertzCT,0.03139728645897934
TAR_002,9,HallKierAlpha,0.03068661533114171
TAR_002,10,EState_VSA10,0.029265546027683914
TAR_003,1,fr_alkyl_halide,0.10065996412689512
TAR_003,2,FpDensityMorgan2,0.09271714200714304
TAR_003,3,FpDensityMorgan3,0.08335411116812985
TAR_003,4,MinAbsEStateIndex,0.07674518694957992
TAR_003,5,Chi4v,0.061792947936787884
TAR_003,6,HallKierAlpha,0.048704676206571845
TAR_003,7,Chi1v,0.04651218396014839
TAR_003,8,SlogP_VSA2,0.04579441839368874
TAR_003,9,SlogP_VSA6,0.04138234820471677
TAR_003,10,EState_VSA10,0.03913000873323087
TAR_004,1,fr_alkyl_halide,0.07204745218473872
TAR_004,2,FpDensityMorgan2,0.05381653489943573
TAR_004,3,FpDensityMorgan3,0.039043586281573534
TAR_004,4,MinAbsEStateIndex,0.03616869828359941
TAR_004,5,HallKierAlpha,0.032654674585671825
TAR_004,6,Chi0,0.028845187395550018
TAR_004,7,Chi3n,0.026742825177417426
TAR_004,8,Chi3v,0.02315470787500451
TAR_004,9,MolMR,0.02264565231200416
TAR_004,10,EState_VSA2,0.022639471343707154
TAR_005,1,MinAbsEStateIndex,0.11014975395311827
TAR_005,2,FpDensityMorgan2,0.053801666561217557
TAR_005,3,HallKierAlpha,0.05273344686784234
TAR_005,4,fr_alkyl_halide,0.04647502542380398
TAR_005,5,PEOE_VSA6,0.03873802435766363
TAR_005,6,SlogP_VSA6,0.03865934802797634
TAR_005,7,Chi4v,0.03577193842834882
TAR_005,8,BertzCT,0.03439732419362532
TAR_005,9,FpDensityMorgan3,0.03351394797570119
TAR_005,10,NOCount,0.027428922582796167
