number,value,state,datetime_start,datetime_complete,params,user_attrs,param_max_depth,param_eta,param_subsample,param_colsample_bytree,param_lambda,param_alpha,param_min_child_weight
0,1.7671746492385865,1,2025-10-25 11:53:36.696426,2025-10-25 11:53:36.890986,"{'max_depth': 6, 'eta': 0.1540359659501924, 'subsample': 0.8659969709057025, 'colsample_bytree': 0.7993292420985183, 'lambda': 1.2363188277052228e-05, 'alpha': 1.2358382772306929e-05, 'min_child_weight': 2}",{'avg_rmse': 1.7671746492385865},6,0.1540359659501924,0.8659969709057025,0.7993292420985183,1.2363188277052228e-05,1.2358382772306929e-05,2
1,1.8637274503707886,1,2025-10-25 11:53:36.891397,2025-10-25 11:53:37.548379,"{'max_depth': 11, 'eta': 0.02416482602989751, 'subsample': 0.8540362888980227, 'colsample_bytree': 0.5102922471479012, 'lambda': 6.156997328235206, 'alpha': 0.6715811311069951, 'min_child_weight': 5}",{'avg_rmse': 1.8637274503707886},11,0.02416482602989751,0.8540362888980227,0.5102922471479012,6.156997328235206,0.6715811311069951,5
2,1.8622397899627685,1,2025-10-25 11:53:37.548599,2025-10-25 11:53:38.871592,"{'max_depth': 4, 'eta': 0.002642526057549917, 'subsample': 0.6521211214797689, 'colsample_bytree': 0.762378215816119, 'lambda': 0.0010558813779064837, 'alpha': 0.00010929592787219404, 'min_child_weight': 13}",{'avg_rmse': 1.8622397899627685},4,0.002642526057549917,0.6521211214797689,0.762378215816119,0.0010558813779064837,0.00010929592787219404,13
3,1.8556145906448365,1,2025-10-25 11:53:38.871799,2025-10-25 11:53:39.873319,"{'max_depth': 4, 'eta': 0.0047014692435609715, 'subsample': 0.6831809216468459, 'colsample_bytree': 0.728034992108518, 'lambda': 0.3134958021096912, 'alpha': 2.498713568466947e-05, 'min_child_weight': 11}",{'avg_rmse': 1.8556145906448365},4,0.0047014692435609715,0.6831809216468459,0.728034992108518,0.3134958021096912,2.498713568466947e-05,11
4,1.9727512359619142,1,2025-10-25 11:53:39.873547,2025-10-25 11:53:41.099526,"{'max_depth': 8, 'eta': 0.0012790390175145834, 'subsample': 0.8037724259507192, 'colsample_bytree': 0.5852620618436457, 'lambda': 2.8533901052402254e-06, 'alpha': 4.387314432435407, 'min_child_weight': 20}",{'avg_rmse': 1.9727512359619142},8,0.0012790390175145834,0.8037724259507192,0.5852620618436457,2.8533901052402254e-06,4.387314432435407,20
5,1.8421226501464845,1,2025-10-25 11:53:41.099751,2025-10-25 11:53:42.104940,"{'max_depth': 11, 'eta': 0.0050225633119947675, 'subsample': 0.5488360570031919, 'colsample_bytree': 0.8421165132560784, 'lambda': 0.0012052231254145623, 'alpha': 7.149367864959197e-06, 'min_child_weight': 10}",{'avg_rmse': 1.8421226501464845},11,0.0050225633119947675,0.5488360570031919,0.8421165132560784,0.0012052231254145623,7.149367864959197e-06,10
6,1.9949280261993407,1,2025-10-25 11:53:42.105153,2025-10-25 11:53:42.243461,"{'max_depth': 3, 'eta': 0.12370108840299013, 'subsample': 0.6293899908000085, 'colsample_bytree': 0.831261142176991, 'lambda': 0.0001520468869219893, 'alpha': 0.004369946783595583, 'min_child_weight': 11}",{'avg_rmse': 1.9949280261993407},3,0.12370108840299013,0.6293899908000085,0.831261142176991,0.0001520468869219893,0.004369946783595583,11
7,1.9795150756835938,1,2025-10-25 11:53:42.243676,2025-10-25 11:53:42.395023,"{'max_depth': 4, 'eta': 0.17023282716867383, 'subsample': 0.8875664116805573, 'colsample_bytree': 0.9697494707820946, 'lambda': 1.8356566544355095, 'alpha': 0.015321449415450729, 'min_child_weight': 19}",{'avg_rmse': 1.9795150756835938},4,0.17023282716867383,0.8875664116805573,0.9697494707820946,1.8356566544355095,0.015321449415450729,19
8,1.8670825004577636,1,2025-10-25 11:53:42.395214,2025-10-25 11:53:43.617470,"{'max_depth': 3, 'eta': 0.0028246357083904893, 'subsample': 0.522613644455269, 'colsample_bytree': 0.6626651653816322, 'lambda': 0.0005257036929213674, 'alpha': 7.933105363733024e-05, 'min_child_weight': 17}",{'avg_rmse': 1.8670825004577636},3,0.0028246357083904893,0.522613644455269,0.6626651653816322,0.0005257036929213674,7.933105363733024e-05,17
9,1.8494206190109252,1,2025-10-25 11:53:43.617683,2025-10-25 11:53:44.955918,"{'max_depth': 6, 'eta': 0.004430357105538922, 'subsample': 0.7713480415791243, 'colsample_bytree': 0.5704621124873813, 'lambda': 0.41245717727594217, 'alpha': 3.325481267274215e-06, 'min_child_weight': 20}",{'avg_rmse': 1.8494206190109252},6,0.004430357105538922,0.7713480415791243,0.5704621124873813,0.41245717727594217,3.325481267274215e-06,20
10,1.8583359956741332,1,2025-10-25 11:53:44.956123,2025-10-25 11:53:45.360184,"{'max_depth': 8, 'eta': 0.04215360426626737, 'subsample': 0.9847685553939328, 'colsample_bytree': 0.9661451709558936, 'lambda': 1.2810738354816964e-06, 'alpha': 0.0006113689744842469, 'min_child_weight': 1}",{'avg_rmse': 1.8583359956741332},8,0.04215360426626737,0.9847685553939328,0.9661451709558936,1.2810738354816964e-06,0.0006113689744842469,1
11,1.8515695095062257,1,2025-10-25 11:53:45.360395,2025-10-25 11:53:46.099800,"{'max_depth': 12, 'eta': 0.01034202727392256, 'subsample': 0.5034331983772904, 'colsample_bytree': 0.8591901910708762, 'lambda': 2.7343993649459987e-05, 'alpha': 1.4891291696477542e-06, 'min_child_weight': 6}",{'avg_rmse': 1.8515695095062257},12,0.01034202727392256,0.5034331983772904,0.8591901910708762,2.7343993649459987e-05,1.4891291696477542e-06,6
12,1.940365695953369,1,2025-10-25 11:53:46.099998,2025-10-25 11:53:46.363960,"{'max_depth': 10, 'eta': 0.06046521991895169, 'subsample': 0.9490222375504709, 'colsample_bytree': 0.8725081763159884, 'lambda': 0.00926002903103249, 'alpha': 1.020090901670849e-05, 'min_child_weight': 6}",{'avg_rmse': 1.940365695953369},10,0.06046521991895169,0.9490222375504709,0.8725081763159884,0.00926002903103249,1.020090901670849e-05,6
13,1.7272924661636353,1,2025-10-25 11:53:46.364171,2025-10-25 11:53:47.366494,"{'max_depth': 6, 'eta': 0.011525112679661973, 'subsample': 0.7377592228008997, 'colsample_bytree': 0.7698100534013987, 'lambda': 0.007667469616464493, 'alpha': 1.0790048144411511e-06, 'min_child_weight': 1}",{'avg_rmse': 1.7272924661636353},6,0.011525112679661973,0.7377592228008997,0.7698100534013987,0.007667469616464493,1.0790048144411511e-06,1
14,1.7431138277053833,1,2025-10-25 11:53:47.366725,2025-10-25 11:53:48.184017,"{'max_depth': 6, 'eta': 0.015309548027852343, 'subsample': 0.7190650837455671, 'colsample_bytree': 0.7247514110675933, 'lambda': 0.0215861475756696, 'alpha': 0.04403976575150951, 'min_child_weight': 1}",{'avg_rmse': 1.7431138277053833},6,0.015309548027852343,0.7190650837455671,0.7247514110675933,0.0215861475756696,0.04403976575150951,1
15,1.797072458267212,1,2025-10-25 11:53:48.184227,2025-10-25 11:53:48.969201,"{'max_depth': 6, 'eta': 0.013102968739894695, 'subsample': 0.7037381592156635, 'colsample_bytree': 0.6997464431782381, 'lambda': 0.0166279509595605, 'alpha': 0.07053620548271519, 'min_child_weight': 3}",{'avg_rmse': 1.797072458267212},6,0.013102968739894695,0.7037381592156635,0.6997464431782381,0.0166279509595605,0.07053620548271519,3
16,1.8964032411575318,1,2025-10-25 11:53:48.969425,2025-10-25 11:53:49.349661,"{'max_depth': 7, 'eta': 0.028092558589507616, 'subsample': 0.7355421251980304, 'colsample_bytree': 0.6531479831915286, 'lambda': 0.04289350171024082, 'alpha': 0.0792123958883647, 'min_child_weight': 8}",{'avg_rmse': 1.8964032411575318},7,0.028092558589507616,0.7355421251980304,0.6531479831915286,0.04289350171024082,0.0792123958883647,8
17,1.81902117729187,1,2025-10-25 11:53:49.349866,2025-10-25 11:53:50.211754,"{'max_depth': 9, 'eta': 0.009815071612379966, 'subsample': 0.5966351255544784, 'colsample_bytree': 0.913217399679865, 'lambda': 0.057158079869005216, 'alpha': 0.0009160510808637318, 'min_child_weight': 4}",{'avg_rmse': 1.81902117729187},9,0.009815071612379966,0.5966351255544784,0.913217399679865,0.057158079869005216,0.0009160510808637318,4
18,1.7173847913742066,1,2025-10-25 11:53:50.211967,2025-10-25 11:53:50.900270,"{'max_depth': 5, 'eta': 0.017558135042725884, 'subsample': 0.7893810342866929, 'colsample_bytree': 0.7663613528159545, 'lambda': 0.003208039324616731, 'alpha': 0.44496878958209535, 'min_child_weight': 1}",{'avg_rmse': 1.7173847913742066},5,0.017558135042725884,0.7893810342866929,0.7663613528159545,0.003208039324616731,0.44496878958209535,1
19,1.853703784942627,1,2025-10-25 11:53:50.900491,2025-10-25 11:53:51.229722,"{'max_depth': 5, 'eta': 0.06441688112519042, 'subsample': 0.8126726522628792, 'colsample_bytree': 0.780086520960821, 'lambda': 0.00018081761984814406, 'alpha': 9.694053642263086, 'min_child_weight': 15}",{'avg_rmse': 1.853703784942627},5,0.06441688112519042,0.8126726522628792,0.780086520960821,0.00018081761984814406,9.694053642263086,15
20,1.8718271017074586,1,2025-10-25 11:53:51.229918,2025-10-25 11:53:51.631755,"{'max_depth': 7, 'eta': 0.022727065090456394, 'subsample': 0.767435970139839, 'colsample_bytree': 0.6662245429667588, 'lambda': 0.00435462005667765, 'alpha': 2.082572076555658, 'min_child_weight': 8}",{'avg_rmse': 1.8718271017074586},7,0.022727065090456394,0.767435970139839,0.6662245429667588,0.00435462005667765,2.082572076555658,8
21,1.7320985078811646,1,2025-10-25 11:53:51.631950,2025-10-25 11:53:52.900073,"{'max_depth': 5, 'eta': 0.007609861638184086, 'subsample': 0.7093823860675529, 'colsample_bytree': 0.7265220416201167, 'lambda': 0.0691932399034973, 'alpha': 0.2857573542300918, 'min_child_weight': 1}",{'avg_rmse': 1.7320985078811646},5,0.007609861638184086,0.7093823860675529,0.7265220416201167,0.0691932399034973,0.2857573542300918,1
22,1.8012529134750366,1,2025-10-25 11:53:52.900493,2025-10-25 11:53:53.873344,"{'max_depth': 5, 'eta': 0.007890444941615714, 'subsample': 0.8139919147917535, 'colsample_bytree': 0.7940736633437451, 'lambda': 0.18176843099478512, 'alpha': 0.4057388542823082, 'min_child_weight': 3}",{'avg_rmse': 1.8012529134750366},5,0.007890444941615714,0.8139919147917535,0.7940736633437451,0.18176843099478512,0.4057388542823082,3
23,1.7565639019012451,1,2025-10-25 11:53:53.873548,2025-10-25 11:53:54.376060,"{'max_depth': 5, 'eta': 0.018843818839615244, 'subsample': 0.675403693422179, 'colsample_bytree': 0.7020843771180812, 'lambda': 0.0058561600307926115, 'alpha': 0.3640716087299386, 'min_child_weight': 1}",{'avg_rmse': 1.7565639019012451},5,0.018843818839615244,0.675403693422179,0.7020843771180812,0.0058561600307926115,0.3640716087299386,1
24,1.830257773399353,1,2025-10-25 11:53:54.376265,2025-10-25 11:53:55.314989,"{'max_depth': 5, 'eta': 0.006700719881056872, 'subsample': 0.7499726872940949, 'colsample_bytree': 0.6130083133695378, 'lambda': 0.06946205035204063, 'alpha': 0.007717172923067251, 'min_child_weight': 4}",{'avg_rmse': 1.830257773399353},5,0.006700719881056872,0.7499726872940949,0.6130083133695378,0.06946205035204063,0.007717172923067251,4
25,1.884125256538391,1,2025-10-25 11:53:55.315197,2025-10-25 11:53:55.603422,"{'max_depth': 7, 'eta': 0.03465655097822882, 'subsample': 0.6112197002139745, 'colsample_bytree': 0.7483469941684977, 'lambda': 0.0019697742550797, 'alpha': 0.0011179994677332624, 'min_child_weight': 7}",{'avg_rmse': 1.884125256538391},7,0.03465655097822882,0.6112197002139745,0.7483469941684977,0.0019697742550797,0.0011179994677332624,7
26,1.8635316133499145,1,2025-10-25 11:53:55.603621,2025-10-25 11:53:57.007149,"{'max_depth': 4, 'eta': 0.0025558817830886233, 'subsample': 0.785447670919364, 'colsample_bytree': 0.9109817376353355, 'lambda': 1.0927737092740446, 'alpha': 1.2447831975335315, 'min_child_weight': 3}",{'avg_rmse': 1.8635316133499145},4,0.0025558817830886233,0.785447670919364,0.9109817376353355,1.0927737092740446,1.2447831975335315,3
27,1.9030727386474608,1,2025-10-25 11:53:57.007368,2025-10-25 11:53:58.356963,"{'max_depth': 3, 'eta': 0.0011018866391589723, 'subsample': 0.9082633601042255, 'colsample_bytree': 0.8133001509596278, 'lambda': 0.00027001174473565304, 'alpha': 0.1681699123062532, 'min_child_weight': 1}",{'avg_rmse': 1.9030727386474608},3,0.0011018866391589723,0.9082633601042255,0.8133001509596278,0.00027001174473565304,0.1681699123062532,1
28,1.834761953353882,1,2025-10-25 11:53:58.357181,2025-10-25 11:53:59.049038,"{'max_depth': 6, 'eta': 0.012908624018196004, 'subsample': 0.8377612424930201, 'colsample_bytree': 0.6958559454710909, 'lambda': 0.15542892093613267, 'alpha': 0.01828453014675606, 'min_child_weight': 5}",{'avg_rmse': 1.834761953353882},6,0.012908624018196004,0.8377612424930201,0.6958559454710909,0.15542892093613267,0.01828453014675606,5
29,1.7516503095626832,1,2025-10-25 11:53:59.049238,2025-10-25 11:54:00.202547,"{'max_depth': 5, 'eta': 0.006173950835181558, 'subsample': 0.5819144894711574, 'colsample_bytree': 0.7805368526066665, 'lambda': 5.812588138196517e-05, 'alpha': 0.0002877069423682457, 'min_child_weight': 2}",{'avg_rmse': 1.7516503095626832},5,0.006173950835181558,0.5819144894711574,0.7805368526066665,5.812588138196517e-05,0.0002877069423682457,2
30,1.7347950220108033,1,2025-10-25 11:54:00.202774,2025-10-25 11:54:00.607654,"{'max_depth': 8, 'eta': 0.049690744567119347, 'subsample': 0.7097796925289314, 'colsample_bytree': 0.8909009417986555, 'lambda': 0.0031539582645344335, 'alpha': 0.17417219987544416, 'min_child_weight': 2}",{'avg_rmse': 1.7347950220108033},8,0.049690744567119347,0.7097796925289314,0.8909009417986555,0.0031539582645344335,0.17417219987544416,2
31,1.7760504245758058,1,2025-10-25 11:54:00.607846,2025-10-25 11:54:01.000977,"{'max_depth': 9, 'eta': 0.08696013296397456, 'subsample': 0.7071604381639038, 'colsample_bytree': 0.8739071130265412, 'lambda': 0.0030557370618792754, 'alpha': 0.254300079661712, 'min_child_weight': 2}",{'avg_rmse': 1.7760504245758058},9,0.08696013296397456,0.7071604381639038,0.8739071130265412,0.0030557370618792754,0.254300079661712,2
32,1.8245264768600464,1,2025-10-25 11:54:01.001267,2025-10-25 11:54:01.662590,"{'max_depth': 8, 'eta': 0.017240485212376467, 'subsample': 0.651514668388179, 'colsample_bytree': 0.9217340970921822, 'lambda': 0.01216215751393528, 'alpha': 1.1537420594882628, 'min_child_weight': 3}",{'avg_rmse': 1.8245264768600464},8,0.017240485212376467,0.651514668388179,0.9217340970921822,0.01216215751393528,1.1537420594882628,3
33,1.8886710166931153,1,2025-10-25 11:54:01.662792,2025-10-25 11:54:01.958655,"{'max_depth': 7, 'eta': 0.04353770179444759, 'subsample': 0.6771968131635134, 'colsample_bytree': 0.747886976908619, 'lambda': 0.0006673206288446452, 'alpha': 0.1256036166714225, 'min_child_weight': 4}",{'avg_rmse': 1.8886710166931153},7,0.04353770179444759,0.6771968131635134,0.747886976908619,0.0006673206288446452,0.1256036166714225,4
34,1.755336833000183,1,2025-10-25 11:54:01.958859,2025-10-25 11:54:03.298925,"{'max_depth': 9, 'eta': 0.009788994928840604, 'subsample': 0.7428028973072193, 'colsample_bytree': 0.816500291150889, 'lambda': 0.023464267020416256, 'alpha': 0.030790392738068856, 'min_child_weight': 2}",{'avg_rmse': 1.755336833000183},9,0.009788994928840604,0.7428028973072193,0.816500291150889,0.023464267020416256,0.030790392738068856,2
35,1.9029881715774537,1,2025-10-25 11:54:03.299121,2025-10-25 11:54:04.920647,"{'max_depth': 6, 'eta': 0.003555999672991639, 'subsample': 0.8489781280778617, 'colsample_bytree': 0.5051742194845483, 'lambda': 8.714799264579366, 'alpha': 5.156314817497743, 'min_child_weight': 5}",{'avg_rmse': 1.9029881715774537},6,0.003555999672991639,0.8489781280778617,0.5051742194845483,8.714799264579366,5.156314817497743,5
36,1.8260334491729737,1,2025-10-25 11:54:04.920845,2025-10-25 11:54:06.474494,"{'max_depth': 4, 'eta': 0.0017934180086886067, 'subsample': 0.6451100105067706, 'colsample_bytree': 0.9950441882427249, 'lambda': 0.001994270355002745, 'alpha': 0.5556724002026919, 'min_child_weight': 1}",{'avg_rmse': 1.8260334491729737},4,0.0017934180086886067,0.6451100105067706,0.9950441882427249,0.001994270355002745,0.5556724002026919,1
37,1.8912648677825927,1,2025-10-25 11:54:06.474696,2025-10-25 11:54:06.792992,"{'max_depth': 6, 'eta': 0.02590410899537192, 'subsample': 0.7910464791739205, 'colsample_bytree': 0.6249828115416673, 'lambda': 0.00497510520415962, 'alpha': 2.932394417131021e-05, 'min_child_weight': 10}",{'avg_rmse': 1.8912648677825927},6,0.02590410899537192,0.7910464791739205,0.6249828115416673,0.00497510520415962,2.932394417131021e-05,10
38,1.9939826011657715,1,2025-10-25 11:54:06.793189,2025-10-25 11:54:06.947894,"{'max_depth': 4, 'eta': 0.12776470567597328, 'subsample': 0.6929343785183789, 'colsample_bytree': 0.7643342294107947, 'lambda': 0.0009728827414155741, 'alpha': 0.0035962218563377894, 'min_child_weight': 13}",{'avg_rmse': 1.9939826011657715},4,0.12776470567597328,0.6929343785183789,0.7643342294107947,0.0009728827414155741,0.0035962218563377894,13
39,1.8029125452041626,1,2025-10-25 11:54:06.948091,2025-10-25 11:54:07.239720,"{'max_depth': 8, 'eta': 0.08163938204135725, 'subsample': 0.7237018498788272, 'colsample_bytree': 0.7234331343318706, 'lambda': 0.1105547784281426, 'alpha': 2.7201195152134443, 'min_child_weight': 2}",{'avg_rmse': 1.8029125452041626},8,0.08163938204135725,0.7237018498788272,0.7234331343318706,0.1105547784281426,2.7201195152134443,2
40,1.8671056509017945,1,2025-10-25 11:54:07.239927,2025-10-25 11:54:07.789031,"{'max_depth': 10, 'eta': 0.0213574994116364, 'subsample': 0.7638337157714152, 'colsample_bytree': 0.5604028633040056, 'lambda': 0.48917281156175363, 'alpha': 0.010417967956573562, 'min_child_weight': 5}",{'avg_rmse': 1.8671056509017945},10,0.0213574994116364,0.7638337157714152,0.5604028633040056,0.48917281156175363,0.010417967956573562,5
41,1.728930377960205,1,2025-10-25 11:54:07.789250,2025-10-25 11:54:08.528656,"{'max_depth': 6, 'eta': 0.015685447361013453, 'subsample': 0.7207781975566642, 'colsample_bytree': 0.7333811310112073, 'lambda': 0.03001886599855303, 'alpha': 0.03575973346726915, 'min_child_weight': 1}",{'avg_rmse': 1.728930377960205},6,0.015685447361013453,0.7207781975566642,0.7333811310112073,0.03001886599855303,0.03575973346726915,1
42,1.818812084197998,1,2025-10-25 11:54:08.528891,2025-10-25 11:54:09.372734,"{'max_depth': 5, 'eta': 0.008112759610860446, 'subsample': 0.6693558878693046, 'colsample_bytree': 0.8420772289486234, 'lambda': 0.032786433601830756, 'alpha': 0.8590048289838174, 'min_child_weight': 3}",{'avg_rmse': 1.818812084197998},5,0.008112759610860446,0.6693558878693046,0.8420772289486234,0.032786433601830756,0.8590048289838174,3
43,1.728410816192627,1,2025-10-25 11:54:09.372948,2025-10-25 11:54:09.885172,"{'max_depth': 7, 'eta': 0.032737409718122584, 'subsample': 0.7409001672618462, 'colsample_bytree': 0.7379722450571753, 'lambda': 0.012102316328076998, 'alpha': 0.15379994424050822, 'min_child_weight': 1}",{'avg_rmse': 1.728410816192627},7,0.032737409718122584,0.7409001672618462,0.7379722450571753,0.012102316328076998,0.15379994424050822,1
44,1.7503288745880128,1,2025-10-25 11:54:09.885383,2025-10-25 11:54:10.425628,"{'max_depth': 7, 'eta': 0.03485378501936136, 'subsample': 0.7494372389998469, 'colsample_bytree': 0.6816952598361338, 'lambda': 0.007851732050360185, 'alpha': 0.02983889399414309, 'min_child_weight': 1}",{'avg_rmse': 1.7503288745880128},7,0.03485378501936136,0.7494372389998469,0.6816952598361338,0.007851732050360185,0.02983889399414309,1
45,1.8309385061264039,1,2025-10-25 11:54:10.425831,2025-10-25 11:54:11.237476,"{'max_depth': 6, 'eta': 0.01340140914101169, 'subsample': 0.8106264976490772, 'colsample_bytree': 0.7318854262706346, 'lambda': 2.150819801722516, 'alpha': 0.006237448754138216, 'min_child_weight': 4}",{'avg_rmse': 1.8309385061264039},6,0.01340140914101169,0.8106264976490772,0.7318854262706346,2.150819801722516,0.006237448754138216,4
